HIFK
Maalivahdit 	  	O 	V 	H 	TP 	PM 	TO 	NP 	M 	S 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	  	Arvo 	 
Maalivahdit 	  	O 	V 	H 	TP 	PM 	TO 	NP 	M 	S 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	  	Arvo 	 
Heikkila Patrik 		4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		151 500 	
Raanta Antti 		4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		150 000 	
Tellqvist Mikael 		4 	0 	4 	0 	12 	129 	0 	0 	0 	0 	0 	1 	0 	0 	28 		439 500 	
Puolustajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Cook Charlie 		4 	0 	0 	0 	0 	0 	0 	10 	2 	6 	6 	0 	0 	0 	0 	10 	401 000 	
Honkaheimo Otto 		4 	0 	1 	0 	0 	0 	0 	9 	0 	1 	2 	0 	0 	0 	0 	12 	303 000 	
Kovanen Tommi 		3 	0 	0 	0 	0 	0 	0 	20 	2 	5 	2 	0 	0 	0 	0 	12 	284 500 	
Lehikoinen Esa 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Makkonen Jussi 		2 	0 	0 	0 	0 	0 	0 	2 	0 	0 	2 	0 	0 	0 	0 	4 	152 500 	
Nevalainen Patrik 		3 	0 	0 	0 	0 	0 	0 	2 	1 	0 	0 	0 	0 	0 	0 	4 	208 500 	
Pettinen Tomi 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	350 000 	
Rantanen Anssi 		4 	0 	0 	0 	0 	0 	0 	4 	0 	2 	2 	0 	0 	0 	0 	3 	183 500 	
Tikkanen Harri 		4 	1 	0 	0 	0 	0 	0 	14 	1 	2 	6 	0 	0 	0 	0 	24 	397 000 	
Vidgren Tony 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	155 500 	
Virtanen Jesse 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Hyokkaajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Aaltonen Nico 		3 	0 	0 	0 	0 	0 	0 	7 	0 	2 	0 	0 	0 	0 	0 	2 	201 500 	
Elo Eero 		3 	1 	0 	0 	0 	0 	0 	5 	1 	1 	2 	0 	0 	0 	0 	12 	295 000 	
Jasu Juhani 		4 	0 	0 	0 	0 	0 	0 	5 	0 	1 	2 	0 	0 	0 	0 	4 	257 500 	
Kangasmaki Aki 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Keranen Janne 		4 	2 	0 	0 	0 	0 	0 	16 	2 	2 	4 	0 	0 	0 	0 	27 	390 000 	
Kivimaki Samuli 		1 	0 	0 	0 	0 	0 	0 	2 	0 	1 	0 	0 	0 	0 	0 	0 	157 500 	
Laaksonen Antti 		4 	0 	1 	0 	0 	0 	0 	8 	0 	4 	4 	0 	0 	0 	0 	9 	386 000 	
Laaksonen Jere 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
McLean Kurtis 		4 	0 	1 	0 	0 	0 	0 	19 	1 	3 	10 	0 	0 	0 	0 	9 	434 500 	
